Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
21;1;0.150;-0.050;-3.200;22.25;-7.27;86.12;16.84;262.90;160.31;-32.74;-122.86;87.90;184.92
;;;;;-21.09;-48.83;-85.37;3.56;17.86;-60.84;-232.43;-494.71;-87.40;44.33
22;1;0.150;-0.150;-3.224;12.20;-7.16;89.89;16.45;183.08;97.61;-30.91;-100.96;76.17;188.93
;;;;;-23.47;-45.78;-89.97;3.84;14.21;-162.90;-237.97;-447.82;-74.30;36.35
23;1;0.150;-0.250;-3.248;5.73;-4.20;88.13;12.97;113.30;63.48;-27.05;-103.88;87.93;180.92
;;;;;-13.58;-34.57;-81.69;3.07;10.04;-168.32;-148.82;-417.52;-89.76;41.45
24;1;0.150;-0.350;-3.272;3.47;-3.38;87.75;11.85;74.96;172.42;-16.68;-101.76;87.95;169.01
;;;;;-8.35;-26.38;-89.41;2.48;7.73;-147.07;-132.69;-382.12;-87.25;47.50
25;1;0.150;-0.450;-3.296;4.35;-2.07;88.35;10.10;51.83;160.66;13.02;-99.58;88.07;160.03
;;;;;-4.90;-19.48;-89.51;1.85;5.69;-153.59;-126.97;-353.66;-86.88;44.88
26;1;0.150;-0.550;-3.320;5.04;-1.30;89.11;8.46;37.19;-139.99;18.89;-104.97;88.59;150.31
;;;;;-2.64;-14.34;-88.60;1.47;5.75;-156.84;-119.42;-327.51;-83.40;46.68
27;1;0.150;-0.650;-3.344;5.43;-1.04;83.26;7.13;31.34;-146.10;21.81;-112.85;89.69;139.34
;;;;;-1.16;-11.40;-87.86;1.22;5.42;-160.47;-110.50;-302.32;-89.80;51.48
28;1;0.150;-0.750;-3.368;5.56;-0.84;85.84;6.05;27.13;-146.75;22.32;-96.65;-20.47;127.27
;;;;;0.33;-9.36;-83.98;1.05;4.84;-166.69;-100.52;-277.66;-89.45;49.00
29;1;0.150;-0.850;-3.392;5.44;-0.66;88.84;5.17;23.41;-146.01;22.46;-76.19;-20.30;114.62
;;;;;0.52;-7.74;-84.03;0.82;4.33;-173.89;-89.85;-253.61;-88.98;41.88
30;1;0.150;-0.950;-3.416;5.11;-0.52;-16.49;4.40;20.02;179.05;20.98;-54.18;-20.16;102.03
;;;;;0.57;-6.41;-89.05;0.79;3.84;-179.96;-78.81;-230.44;-89.05;29.02
31;1;0.150;-1.050;-3.440;4.70;-0.39;-17.77;3.76;16.93;177.20;18.03;-42.03;89.82;99.96
;;;;;0.61;-5.31;-86.42;0.52;3.33;-175.52;-67.73;-214.03;-88.08;19.15
32;1;0.150;-1.150;-3.464;4.28;-0.28;-17.34;3.28;14.06;175.94;14.12;-38.20;89.47;104.58
;;;;;0.49;-4.52;-83.69;0.44;2.82;-179.49;-57.01;-209.28;-83.40;17.15
33;1;0.150;-1.250;-3.488;3.94;-0.21;-18.68;2.92;11.61;178.57;25.73;-35.83;78.57;108.47
;;;;;0.42;-3.96;-80.98;0.38;2.44;-178.57;-47.41;-203.86;-50.28;16.61
34;1;0.150;-1.350;-3.512;3.45;-0.14;-21.69;2.54;9.66;179.92;37.75;-34.04;34.29;110.74
;;;;;0.38;-3.37;-79.61;0.33;1.97;-178.63;-38.22;-195.93;-52.84;15.98
35;1;0.150;-1.450;-3.536;3.02;-0.08;-26.42;2.32;8.29;173.60;50.96;-32.15;20.10;112.33
;;;;;0.35;-2.89;-77.96;0.30;1.19;-175.69;-29.95;-185.57;-55.88;15.26
36;1;0.150;-1.550;-3.560;2.56;0.08;-31.89;2.06;6.40;179.26;64.14;-30.15;17.14;112.44
;;;;;0.34;-2.42;-76.54;0.28;1.61;-178.70;-21.85;-172.42;-59.14;19.42
37;1;0.150;-1.650;-3.585;2.16;0.11;40.71;1.82;5.12;176.74;77.45;-28.32;16.57;112.11
;;;;;0.27;-2.02;-75.32;0.24;1.36;-179.50;-15.75;-158.63;-69.28;21.84
38;1;0.150;-1.750;-3.609;1.98;0.10;52.77;1.78;5.52;177.70;92.23;-29.24;16.68;112.88
;;;;;0.41;-1.84;-74.08;0.35;1.32;-177.78;-15.39;-145.83;-82.28;25.94
39;1;0.150;-1.850;-3.633;2.07;0.25;61.03;1.76;6.34;179.14;107.92;-30.30;85.53;114.01
;;;;;0.46;-1.77;-73.06;0.36;1.13;-176.97;-15.57;-133.02;-89.09;23.80
40;1;0.150;-1.950;-3.657;2.49;0.43;66.28;1.72;7.30;178.20;123.97;-33.52;68.60;115.34
;;;;;0.49;-1.83;-72.17;0.32;0.99;-158.11;-16.08;-133.17;-51.01;21.80
41;1;0.250;-0.050;-3.224;11.90;-4.23;88.74;11.38;153.40;122.86;93.35;-99.04;82.75;167.15
;;;;;-12.66;-27.33;-89.34;3.88;8.18;-73.80;-166.31;-383.30;-81.21;38.27
42;1;0.250;-0.150;-3.248;7.04;-3.60;89.40;13.05;107.52;152.84;69.46;-86.98;86.25;170.46
;;;;;-9.26;-29.96;-89.32;3.43;8.62;-113.55;-157.93;-379.80;-84.63;31.31
43;1;0.250;-0.250;-3.271;4.89;-3.10;89.38;11.98;70.55;113.12;56.39;-71.71;72.84;169.27
;;;;;-8.50;-26.36;-89.42;2.67;7.19;-136.73;-148.93;-369.92;-75.48;34.97
44;1;0.250;-0.350;-3.295;5.01;-2.38;89.98;10.46;49.84;166.73;52.59;-74.62;78.79;163.89
;;;;;-5.03;-20.85;-89.75;1.90;4.37;-138.06;-113.36;-353.11;-80.73;30.18
45;1;0.250;-0.450;-3.318;5.27;-1.61;89.42;8.74;37.69;-112.21;53.46;-75.53;84.13;156.07
;;;;;-4.75;-15.49;-89.75;1.74;4.55;-164.01;-114.49;-334.29;-72.78;28.79
46;1;0.250;-0.550;-3.341;5.38;-0.96;83.86;7.16;30.48;-125.68;55.01;-82.18;87.75;146.58
;;;;;-3.06;-12.21;-89.76;1.38;4.71;-157.87;-112.72;-314.71;-67.03;27.40
47;1;0.250;-0.650;-3.365;5.42;-0.76;85.48;5.57;25.26;-132.45;55.63;-89.18;89.00;135.85
;;;;;-1.87;-10.05;-87.94;1.10;4.21;-159.46;-108.33;-295.02;-89.61;24.25
48;1;0.250;-0.750;-3.388;5.35;-0.61;89.83;4.68;20.91;-135.68;54.99;-66.51;86.63;124.33
;;;;;-1.12;-8.39;-87.00;0.90;3.68;-164.90;-101.65;-275.38;-89.16;22.66
49;1;0.250;-0.850;-3.412;5.13;-0.49;-21.93;4.06;17.20;-136.09;53.23;-45.84;87.68;112.49
;;;;;-0.62;-7.05;-89.95;0.74;3.17;-172.82;-93.12;-255.91;-87.65;22.21
50;1;0.250;-0.950;-3.435;4.82;-0.38;-19.39;3.48;14.16;179.54;50.72;-41.35;87.36;100.99
;;;;;-0.29;-5.97;-86.74;0.62;2.71;-178.73;-83.29;-236.98;-82.38;17.67
51;1;0.250;-1.050;-3.459;4.42;-0.29;-17.16;3.04;11.85;177.49;48.03;-37.63;81.16;96.99
;;;;;0.25;-5.07;-85.01;0.50;2.29;-177.61;-72.80;-219.15;-84.77;16.89
52;1;0.250;-1.150;-3.482;4.03;-0.22;-18.51;2.68;10.08;178.88;45.71;-34.33;68.74;105.01
;;;;;0.38;-4.37;-83.67;0.43;2.03;-176.26;-62.06;-202.75;-42.91;16.12
53;1;0.250;-1.250;-3.505;3.58;-0.16;-21.96;2.35;7.93;177.66;51.37;-31.55;59.24;111.49
;;;;;0.39;-3.71;-82.12;0.31;1.67;-175.35;-51.41;-188.91;-46.16;15.33
54;1;0.250;-1.350;-3.529;3.25;-0.12;-28.92;2.18;6.24;176.03;63.49;-29.40;47.89;118.01
;;;;;0.36;-3.27;-80.35;0.28;1.33;-179.69;-41.97;-182.70;-48.66;14.64
55;1;0.250;-1.450;-3.552;2.90;-0.22;-38.39;2.05;5.56;178.48;76.27;-27.97;37.75;123.69
;;;;;0.33;-2.85;-78.56;0.26;1.44;-179.91;-37.12;-180.91;-49.79;19.70
56;1;0.250;-1.550;-3.576;2.51;-0.15;-46.28;1.90;4.87;179.14;89.11;-27.26;31.55;127.84
;;;;;0.29;-2.43;-77.17;0.24;1.31;-175.04;-31.70;-176.24;-49.14;23.68
57;1;0.250;-1.650;-3.599;2.14;-0.09;36.98;1.77;4.55;163.91;102.48;-27.23;81.31;131.33
;;;;;0.25;-2.03;-75.95;0.28;1.60;-176.56;-26.92;-169.98;-44.55;27.78
58;1;0.250;-1.750;-3.623;1.87;0.08;39.99;1.71;4.98;179.30;116.00;-24.15;40.90;134.45
;;;;;0.30;-1.75;-74.78;0.29;1.35;-175.90;-21.88;-162.93;-44.86;25.62
59;1;0.250;-1.850;-3.646;1.94;0.17;41.92;1.67;6.09;178.18;128.84;-23.12;39.18;137.13
;;;;;0.35;-1.73;-83.52;0.31;1.18;-178.03;-17.65;-155.78;-46.61;23.49
60;1;0.250;-1.950;-3.670;2.36;0.31;42.51;1.63;7.12;179.82;140.45;-29.66;39.53;139.25
;;;;;0.40;-1.84;-73.09;0.33;1.01;-178.41;-17.07;-151.36;-48.17;21.49
61;1;0.350;-0.050;-3.249;8.58;-2.83;85.55;8.53;110.03;148.61;116.24;-87.13;83.79;180.83
;;;;;-7.62;-19.41;-89.65;1.56;5.49;-57.86;-115.35;-328.54;-89.88;38.08
62;1;0.350;-0.150;-3.272;7.18;-2.42;88.95;10.12;67.53;156.40;102.34;-76.36;88.47;158.78
;;;;;-4.76;-21.23;-88.57;2.17;4.91;-102.58;-112.62;-321.61;-87.92;29.80
63;1;0.350;-0.250;-3.295;5.98;-2.14;89.29;9.54;48.70;149.68;94.66;-63.44;87.01;153.41
;;;;;-5.09;-18.54;-89.40;1.84;4.25;-162.13;-105.29;-329.45;-82.60;25.36
64;1;0.350;-0.350;-3.317;5.49;-1.84;89.80;8.25;33.52;160.19;89.33;-60.82;71.28;151.97
;;;;;-4.10;-15.15;-89.59;1.41;3.09;-147.72;-92.10;-324.00;-73.26;27.23
65;1;0.350;-0.450;-3.340;5.29;-1.17;89.87;6.71;23.96;176.92;86.69;-63.81;77.01;146.21
;;;;;-4.10;-12.39;-89.78;1.32;2.91;-173.47;-90.57;-313.08;-58.76;22.17
66;1;0.350;-0.550;-3.363;5.17;-0.97;89.98;5.33;18.71;-104.84;85.37;-65.34;74.12;137.87
;;;;;-3.04;-10.28;-89.23;1.09;2.99;-171.27;-92.59;-299.48;-29.79;30.76
67;1;0.350;-0.650;-3.386;5.08;-0.79;88.13;4.34;15.27;-115.87;84.13;-64.64;75.06;127.94
;;;;;-2.36;-8.65;-88.91;0.71;2.85;-165.41;-92.16;-284.49;-20.81;30.45
68;1;0.350;-0.750;-3.409;4.95;-0.64;89.26;3.77;12.60;-118.87;82.48;-42.82;74.53;117.15
;;;;;-1.72;-7.36;-89.32;0.76;2.57;-169.50;-89.45;-268.75;-20.45;32.63
69;1;0.350;-0.850;-3.431;4.74;-0.35;-27.66;3.23;10.50;-122.46;80.35;-38.87;72.28;106.23
;;;;;-1.22;-6.35;-88.42;0.64;2.00;-174.28;-84.64;-252.80;-20.22;17.95
70;1;0.350;-0.950;-3.454;4.44;-0.28;-23.79;2.86;8.88;177.97;77.98;-36.84;70.27;95.89
;;;;;-0.85;-5.48;-87.60;0.52;1.73;-179.99;-77.84;-237.25;-21.76;16.72
71;1;0.350;-1.050;-3.477;4.13;-0.23;-20.27;2.53;7.81;178.91;75.47;-34.50;66.97;97.57
;;;;;-0.57;-4.78;-86.42;0.45;1.57;-177.80;-69.10;-222.42;-20.79;13.25
72;1;0.350;-1.150;-3.500;3.67;-0.17;-17.55;2.20;6.62;178.24;73.38;-31.38;62.26;106.31
;;;;;-0.37;-4.04;-84.94;0.37;1.33;-169.71;-59.18;-208.30;-24.07;12.98
73;1;0.350;-1.250;-3.523;3.33;-0.14;-27.59;2.03;5.45;171.42;72.14;-28.76;56.42;115.18
;;;;;0.29;-3.52;-83.24;0.33;1.07;-178.45;-54.57;-197.00;-27.64;17.82
74;1;0.350;-1.350;-3.545;3.01;-0.30;-46.32;1.92;4.87;179.12;82.99;-26.71;49.52;123.93
;;;;;0.39;-3.09;-81.47;0.30;1.16;-175.22;-51.72;-188.41;-31.65;20.96
75;1;0.350;-1.450;-3.568;2.71;-0.22;-53.01;1.86;4.70;175.49;95.48;-25.34;43.11;132.01
;;;;;0.35;-2.72;-79.77;0.28;1.09;-177.70;-47.58;-181.42;-35.89;24.64
76;1;0.350;-1.550;-3.591;2.35;-0.16;-38.42;1.76;4.71;173.89;108.06;-24.79;37.95;138.96
;;;;;0.29;-2.31;-78.38;0.25;1.04;-175.59;-42.50;-177.43;-40.07;23.05
77;1;0.350;-1.650;-3.614;2.02;-0.11;32.51;1.68;4.50;173.28;120.77;-24.95;34.01;145.14
;;;;;0.28;-1.94;-77.01;0.25;1.00;-177.97;-37.72;-177.11;-43.79;21.38
78;1;0.350;-1.750;-3.637;1.74;-0.10;33.47;1.64;4.42;177.85;132.31;-25.55;31.29;150.00
;;;;;0.20;-1.64;-75.78;0.25;1.27;-175.75;-32.46;-175.39;-48.02;24.92
79;1;0.350;-1.850;-3.660;1.88;-0.10;58.52;1.59;5.61;178.77;141.90;-21.36;29.57;153.53
;;;;;0.26;-1.71;-74.83;0.27;1.16;-176.67;-26.91;-173.05;-50.49;22.97
80;1;0.350;-1.950;-3.682;2.28;-0.10;37.11;1.55;6.87;177.45;148.97;-20.70;28.57;155.68
;;;;;0.31;-1.84;-74.08;0.29;1.06;-176.73;-21.95;-170.49;-51.45;21.00
81;1;0.450;-0.050;-3.274;7.68;-1.83;89.80;7.51;78.58;150.05;118.81;-78.88;84.48;181.07
;;;;;-4.05;-14.24;-89.70;0.97;8.12;-74.84;-88.76;-307.01;-88.96;37.74
82;1;0.450;-0.150;-3.296;7.34;-1.52;88.83;9.34;42.09;157.17;114.68;-68.84;87.74;160.45
;;;;;-3.27;-16.35;-89.49;1.45;6.26;-122.10;-91.39;-283.24;-87.36;30.58
83;1;0.450;-0.250;-3.318;5.71;-1.39;89.53;7.34;35.84;158.93;112.80;-57.41;80.97;135.63
;;;;;-2.69;-14.51;-89.89;1.34;4.47;-86.14;-80.29;-291.08;-84.07;23.39
84;1;0.450;-0.350;-3.340;5.25;-1.20;88.95;6.24;23.65;161.62;110.01;-47.03;69.03;137.60
;;;;;-2.94;-12.20;-89.43;1.04;2.73;-177.89;-69.71;-297.42;-76.65;24.52
85;1;0.450;-0.450;-3.362;4.98;-0.77;89.69;5.12;15.04;168.95;107.65;-50.18;69.30;133.55
;;;;;-3.98;-10.25;-89.28;0.87;1.56;-177.80;-66.44;-292.34;-59.42;25.85
86;1;0.450;-0.550;-3.385;4.81;-0.64;89.99;4.12;10.47;176.84;105.77;-53.06;69.46;126.42
;;;;;-3.07;-8.73;-89.93;0.70;1.69;-174.69;-69.29;-283.34;-28.10;26.41
87;1;0.450;-0.650;-3.407;4.73;-0.53;90.00;3.49;8.26;-89.48;103.94;-50.29;69.23;117.50
;;;;;-2.29;-7.52;-88.97;0.74;1.64;-175.92;-70.45;-272.17;-17.07;26.50
88;1;0.450;-0.750;-3.429;4.59;-0.44;89.60;3.10;6.95;-95.80;101.90;-36.60;68.73;107.67
;;;;;-1.80;-6.57;-89.94;0.65;1.49;-176.44;-69.76;-259.60;-15.09;19.23
89;1;0.450;-0.850;-3.451;4.37;-0.37;-27.22;2.71;6.12;178.37;99.65;-35.35;67.72;97.83
;;;;;-1.40;-5.75;-89.84;0.56;1.30;-179.23;-67.28;-246.57;-15.68;29.89
90;1;0.450;-0.950;-3.473;4.12;-0.21;-23.25;2.40;5.57;179.16;97.05;-33.82;65.89;88.62
;;;;;-1.08;-5.06;-88.89;0.45;1.14;-178.91;-64.36;-233.37;-15.77;24.38
91;1;0.450;-1.050;-3.495;3.71;-0.17;-19.60;2.09;4.93;179.57;94.54;-31.93;63.13;97.35
;;;;;-0.82;-4.32;-87.66;0.38;0.99;-179.64;-65.96;-220.12;-16.02;16.63
92;1;0.450;-1.150;-3.518;3.39;-0.15;-16.75;1.92;4.73;179.59;92.45;-29.27;59.02;107.56
;;;;;-0.64;-3.77;-85.99;0.33;0.81;-178.69;-66.05;-208.76;-19.56;20.78
93;1;0.450;-1.250;-3.540;3.04;-0.12;-65.61;1.79;4.81;176.28;91.26;-26.51;54.87;117.84
;;;;;-0.41;-3.26;-84.55;0.30;0.79;-176.87;-64.68;-199.26;-23.87;22.35
94;1;0.450;-1.350;-3.562;2.72;-0.27;-61.08;1.71;4.76;167.98;97.81;24.80;49.87;127.89
;;;;;0.27;-2.83;-82.86;0.27;0.89;-177.73;-61.79;-192.16;-28.90;24.98
95;1;0.450;-1.450;-3.584;2.45;-0.22;-46.49;1.67;4.68;166.79;109.97;25.21;44.94;137.58
;;;;;0.28;-2.48;-81.26;0.26;0.88;-176.94;-57.70;-186.68;-34.48;23.62
96;1;0.450;-1.550;-3.606;2.13;-0.17;-32.27;1.61;4.75;174.70;121.95;23.59;40.51;146.41
;;;;;0.23;-2.11;-79.85;0.24;0.89;-177.97;-52.96;-182.39;-38.40;22.18
97;1;0.450;-1.650;-3.629;1.81;-0.13;27.97;1.54;4.35;178.97;132.94;-22.15;36.90;153.90
;;;;;0.21;-1.75;-78.42;0.23;0.90;-170.74;-47.69;-180.22;-47.30;20.66
98;1;0.450;-1.750;-3.651;1.53;-0.11;28.22;1.50;4.02;175.14;141.84;-22.77;34.21;159.71
;;;;;0.15;-1.47;-77.11;0.22;0.89;-174.51;-42.07;-182.95;-52.67;19.05
99;1;0.450;-1.850;-3.673;1.84;-0.14;27.38;1.45;5.12;179.32;147.91;-23.41;32.34;163.64
;;;;;0.10;-1.63;-76.05;0.20;0.87;-178.60;-36.28;-184.84;-55.39;17.39
100;1;0.450;-1.950;-3.695;2.21;-0.18;25.70;1.41;6.27;177.12;150.72;-23.82;31.11;165.64
;;;;;0.14;-1.77;-75.23;0.20;0.81;-175.39;-30.48;-186.17;-56.27;15.74
101;1;0.550;-0.050;-3.298;6.63;-1.32;88.40;6.69;62.05;150.64;111.36;-74.09;85.71;174.56
;;;;;-1.82;-10.95;-88.77;0.91;8.40;-65.82;-71.19;-293.05;-87.31;36.80
102;1;0.550;-0.150;-3.320;6.63;-0.99;89.75;7.81;30.41;156.02;114.26;-63.30;89.33;154.37
;;;;;-2.15;-12.99;-88.44;1.13;5.81;-99.34;-66.77;-259.37;-85.25;30.53
103;1;0.550;-0.250;-3.341;5.11;-0.85;88.87;5.85;28.19;158.01;117.64;-52.40;81.68;132.23
;;;;;-1.85;-11.68;-87.75;1.01;4.01;-75.65;-67.52;-264.81;-82.17;22.21
104;1;0.550;-0.350;-3.363;4.79;-0.73;89.84;4.74;18.07;162.72;118.26;-42.96;67.66;113.16
;;;;;-2.73;-10.04;-86.63;0.82;2.53;-118.65;-53.36;-268.55;-74.97;20.54
105;1;0.550;-0.450;-3.385;4.59;-0.61;88.78;3.86;10.84;173.38;117.65;-40.04;67.62;120.34
;;;;;-2.97;-8.65;-89.71;0.68;1.75;-144.99;-50.05;-273.11;-56.01;22.23
106;1;0.550;-0.550;-3.406;4.44;-0.40;89.47;3.29;6.88;179.03;116.48;-43.75;67.48;114.18
;;;;;-2.47;-7.49;-89.39;0.67;0.93;-149.98;-53.48;-267.29;-26.96;23.08
107;1;0.550;-0.650;-3.428;4.35;-0.35;89.84;2.86;5.53;173.70;114.92;-36.64;67.08;106.25
;;;;;-2.08;-6.61;-89.84;0.61;0.88;-177.48;-58.91;-258.91;-15.50;23.42
108;1;0.550;-0.750;-3.449;4.19;-0.28;89.92;2.53;4.76;178.63;113.11;-31.06;66.30;97.42
;;;;;-1.69;-5.84;-89.65;0.54;0.80;-176.68;-64.56;-248.86;-13.85;21.44
109;1;0.550;-0.850;-3.471;4.01;-0.27;89.79;2.27;4.25;172.91;110.87;-32.69;65.07;88.58
;;;;;-1.34;-5.20;-89.96;0.49;0.79;-178.31;-69.29;-237.85;-14.54;17.40
110;1;0.550;-0.950;-3.492;3.66;0.12;89.96;1.99;3.54;170.53;108.54;-31.54;63.35;86.36
;;;;;-1.03;-4.49;-89.25;0.37;0.66;-175.86;-72.99;-225.81;-12.73;19.23
111;1;0.550;-1.050;-3.514;3.39;0.10;85.90;1.83;3.83;178.84;106.43;-30.10;60.94;97.07
;;;;;-0.84;-3.95;-88.85;0.33;0.56;-174.82;-75.11;-215.08;-13.59;19.77
112;1;0.550;-1.150;-3.535;3.07;-0.18;89.84;1.70;4.51;176.47;104.85;-27.94;57.80;108.15
;;;;;-0.57;-3.43;-87.04;0.30;0.67;-171.86;-75.83;-205.37;-14.53;21.78
113;1;0.550;-1.250;-3.557;2.75;-0.16;80.07;1.60;4.87;167.71;103.98;26.40;53.95;119.29
;;;;;-0.35;-2.96;-88.08;0.27;0.81;-175.73;-74.48;-197.19;-19.41;25.02
114;1;0.550;-1.350;-3.579;2.45;-0.10;87.96;1.54;4.93;177.53;108.95;31.60;49.65;130.28
;;;;;-0.18;-2.56;-86.42;0.25;0.87;-175.46;-71.47;-191.38;-25.11;23.84
115;1;0.550;-1.450;-3.600;2.16;-0.21;88.88;1.50;4.76;159.74;120.28;32.09;45.30;140.74
;;;;;0.21;-2.20;-89.93;0.23;0.90;-178.89;-67.24;-186.81;-31.99;22.59
116;1;0.550;-1.550;-3.622;1.87;-0.17;-29.50;1.45;4.51;178.25;130.86;30.77;41.35;150.41
;;;;;0.16;-1.85;-88.91;0.21;0.89;-168.61;-62.42;-183.11;-39.57;21.27
117;1;0.550;-1.650;-3.643;1.56;-0.13;23.69;1.39;4.13;175.77;139.56;27.94;38.09;158.41
;;;;;0.13;-1.51;-86.26;0.25;0.95;-172.59;-56.60;-180.48;-53.68;19.89
118;1;0.550;-1.750;-3.665;1.50;-0.13;23.65;1.34;3.63;172.16;145.58;24.11;35.57;164.48
;;;;;0.12;-1.38;-84.20;0.19;0.82;-177.48;-50.53;-186.61;-59.79;18.41
119;1;0.550;-1.850;-3.686;1.81;-0.16;22.71;1.29;4.49;179.78;148.48;-20.44;33.74;168.55
;;;;;0.08;-1.54;-82.65;0.18;0.80;-178.74;-44.49;-191.92;-61.97;16.88
120;1;0.550;-1.950;-3.708;2.17;-0.21;21.12;1.36;5.55;178.36;147.90;-20.62;32.42;170.65
;;;;;0.08;-1.70;-81.52;0.17;0.75;-172.85;-38.66;-196.77;-62.16;15.33
121;1;0.650;-0.050;-3.323;5.73;-0.99;87.54;6.20;50.67;151.56;100.88;-70.35;87.65;165.57
;;;;;-0.69;-8.74;-84.12;1.09;8.09;-88.32;-61.46;-280.03;-85.02;35.45
122;1;0.650;-0.150;-3.344;5.70;-0.70;88.13;7.18;25.91;168.63;107.03;-58.83;80.80;144.65
;;;;;-1.38;-10.60;-89.62;0.93;5.22;-102.25;-52.20;-251.61;-87.29;29.48
123;1;0.650;-0.250;-3.365;4.50;-0.50;85.98;5.08;22.95;178.28;114.42;-48.21;86.84;123.99
;;;;;-1.44;-9.62;-89.50;0.81;2.04;-73.58;-53.49;-244.10;-80.19;22.11
