Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
38;1;0.150;-1.750;-3.609;1.56;1.66;0.92;1.19;1.91;77.22;-26.39;54.82
;;;;;-1.39;-1.58;-1.03;-5.44;-3.02;-63.38;-136.58;-61.53
39;1;0.150;-1.850;-3.633;1.64;1.48;0.94;0.23;2.14;83.72;26.50;69.10
;;;;;-1.47;-1.42;-1.07;-6.11;-3.46;-66.11;-115.85;-64.67
40;1;0.150;-1.950;-3.657;1.69;1.52;0.93;0.69;2.18;87.20;43.72;83.81
;;;;;-1.51;-1.28;-1.09;-6.77;-4.11;-68.35;-91.63;-67.90
41;1;0.250;-0.050;-3.224;6.62;9.98;1.29;142.53;92.12;-31.40;-73.36;137.57
;;;;;-22.87;-27.28;-7.57;-13.16;-62.23;-302.74;-317.17;37.72
42;1;0.250;-0.150;-3.248;3.96;6.88;0.77;80.47;16.68;-29.81;-71.08;117.66
;;;;;-29.53;-29.88;-4.71;8.27;-79.94;-252.01;-350.11;-40.30
43;1;0.250;-0.250;-3.271;-0.38;4.63;1.08;37.71;7.93;-17.62;-65.09;81.20
;;;;;-26.06;-24.04;-3.80;-9.56;-70.00;-221.32;-354.82;-52.59
44;1;0.250;-0.350;-3.295;-1.07;4.62;0.88;14.18;-3.16;-9.81;-57.17;57.35
;;;;;-20.42;-18.86;-3.24;-13.03;-48.11;-192.59;-347.11;-62.55
45;1;0.250;-0.450;-3.318;-0.95;5.03;0.59;4.83;-3.01;-12.09;-51.67;41.69
;;;;;-15.00;-14.93;-2.81;-21.27;-31.45;-166.98;-332.01;-65.08
46;1;0.250;-0.550;-3.341;-0.55;5.27;-0.36;3.31;-2.22;-13.07;-51.04;32.25
;;;;;-10.63;-12.08;-2.65;-23.11;-21.69;-140.78;-314.08;-62.66
47;1;0.250;-0.650;-3.365;0.55;5.39;-0.38;2.41;-1.58;-12.80;50.68;26.30
;;;;;-7.40;-9.96;-2.46;-22.00;-15.02;-114.20;-294.98;-57.01
48;1;0.250;-0.750;-3.388;0.75;5.32;-0.35;2.45;-0.96;13.17;50.77;22.24
;;;;;-5.11;-8.35;-2.24;-19.62;-10.51;-109.55;-275.25;-49.77
49;1;0.250;-0.850;-3.412;0.83;5.09;-0.31;3.79;-0.52;14.01;49.14;19.71
;;;;;-3.52;-7.04;-2.01;-16.84;-7.46;-105.23;-255.10;-44.14
50;1;0.250;-0.950;-3.435;0.84;4.77;-0.26;4.57;0.34;13.96;46.18;18.35
;;;;;-2.43;-5.97;-1.79;-14.13;-5.48;-99.38;-234.81;-41.43
51;1;0.250;-1.050;-3.459;0.83;4.35;0.43;4.98;1.41;27.12;42.54;17.89
;;;;;-1.71;-5.05;-1.60;-11.84;-4.32;-92.06;-214.80;-39.66
52;1;0.250;-1.150;-3.482;0.82;3.94;0.58;4.99;2.50;40.05;38.59;18.04
;;;;;-1.29;-4.31;-1.43;-9.91;-4.06;-83.03;-195.34;-41.54
53;1;0.250;-1.250;-3.505;0.80;3.46;0.68;4.27;1.99;50.83;34.07;18.66
;;;;;-1.04;-3.61;-1.27;-7.77;-2.98;-72.79;-182.08;-45.55
54;1;0.250;-1.350;-3.529;0.88;3.10;0.78;3.74;0.46;61.69;29.24;19.64
;;;;;-1.00;-3.12;-1.22;-6.24;-3.00;-63.31;-182.50;-49.95
55;1;0.250;-1.450;-3.552;1.00;2.71;0.86;3.61;0.99;72.51;-27.19;28.69
;;;;;-1.05;-2.66;-1.18;-5.49;-2.89;-65.67;-179.69;-54.36
56;1;0.250;-1.550;-3.576;1.12;2.29;0.86;3.23;1.88;82.47;-26.21;38.86
;;;;;-1.12;-2.21;-1.12;-4.63;-2.75;-67.96;-173.04;-58.53
57;1;0.250;-1.650;-3.599;1.25;1.89;0.85;2.77;2.95;91.65;-25.16;50.29
;;;;;-1.21;-1.81;-1.05;-3.80;-2.75;-70.57;-163.47;-62.17
58;1;0.250;-1.750;-3.623;1.42;1.59;0.85;1.70;2.94;99.37;-24.11;62.83
;;;;;-1.35;-1.51;-1.01;-4.90;-2.76;-73.10;-151.44;-65.40
59;1;0.250;-1.850;-3.646;1.55;1.36;0.85;0.63;2.76;104.40;-23.12;76.29
;;;;;-1.47;-1.29;-0.96;-5.88;-2.95;-75.20;-137.27;-68.38
60;1;0.250;-1.950;-3.670;1.66;1.73;0.83;0.30;2.71;105.93;22.58;90.13
;;;;;-1.56;-1.12;-0.98;-6.65;-3.34;-76.71;-120.87;-71.22
61;1;0.350;-0.050;-3.249;7.96;7.41;1.38;105.47;75.64;-21.01;89.18;146.25
;;;;;-16.39;-19.41;-4.73;-30.77;-35.65;-271.96;-267.30;37.93
62;1;0.350;-0.150;-3.272;6.78;6.66;0.91;61.55;10.76;-24.13;70.55;131.25
;;;;;-20.01;-21.17;-3.59;-5.90;-38.89;-221.67;-294.96;-28.67
63;1;0.350;-0.250;-3.295;2.46;5.69;0.82;30.11;6.37;-12.49;64.93;104.79
;;;;;-18.19;-18.46;-2.84;-4.89;-43.69;-188.63;-310.33;-34.01
64;1;0.350;-0.350;-3.317;0.13;5.29;0.62;14.68;3.53;7.37;65.01;78.23
;;;;;-14.58;-15.07;-2.24;-6.24;-33.40;-156.07;-313.51;-36.30
65;1;0.350;-0.450;-3.340;-0.62;5.19;0.37;4.57;1.89;5.94;67.53;60.25
;;;;;-10.85;-12.31;-1.82;-7.49;-22.75;-126.06;-308.06;-40.23
66;1;0.350;-0.550;-3.363;-0.38;5.12;-0.26;2.37;-1.19;11.41;69.97;49.72
;;;;;-7.73;-10.21;-1.63;-11.65;-15.55;-100.09;-297.40;-40.74
67;1;0.350;-0.650;-3.386;-0.24;5.07;-0.16;2.24;-0.78;14.48;71.12;42.38
;;;;;-5.39;-8.61;-1.51;-12.47;-10.87;-93.07;-283.91;-37.60
68;1;0.350;-0.750;-3.409;0.15;4.94;-0.14;2.64;-0.47;15.78;70.73;36.99
;;;;;-3.73;-7.34;-1.40;-11.68;-7.59;-89.50;-268.73;-34.71
69;1;0.350;-0.850;-3.431;0.15;4.72;-0.17;3.03;0.29;22.79;68.95;33.19
;;;;;-2.60;-6.35;-1.30;-10.30;-5.48;-84.85;-252.56;-33.46
70;1;0.350;-0.950;-3.454;0.16;4.42;0.22;3.28;0.49;36.86;66.05;30.67
;;;;;-1.87;-5.48;-1.21;-8.87;-4.31;-78.97;-235.98;-31.62
71;1;0.350;-1.050;-3.477;0.17;4.09;0.37;3.58;1.32;49.09;62.13;29.07
;;;;;-1.39;-4.75;-1.13;-7.79;-3.87;-71.50;-219.21;-31.92
72;1;0.350;-1.150;-3.500;0.21;3.62;0.48;3.41;0.87;59.36;57.54;28.37
;;;;;-1.04;-3.99;-1.04;-6.61;-3.02;-66.02;-201.99;-37.16
73;1;0.350;-1.250;-3.523;0.34;3.26;0.58;2.80;0.95;69.72;52.77;28.14
;;;;;-0.87;-3.44;-1.03;-5.29;-2.88;-69.06;-186.13;-43.06
74;1;0.350;-1.350;-3.545;0.51;2.90;0.67;2.37;1.74;80.37;47.68;28.62
;;;;;-0.78;-2.96;-1.05;-4.39;-2.70;-72.04;-171.97;-48.63
75;1;0.350;-1.450;-3.568;0.70;2.57;0.74;2.24;2.68;90.86;42.59;32.75
;;;;;-0.89;-2.56;-1.07;-3.89;-2.73;-74.69;-174.10;-53.79
76;1;0.350;-1.550;-3.591;0.87;2.18;0.76;2.16;3.44;100.74;37.50;42.46
;;;;;-1.01;-2.13;-1.07;-3.50;-3.27;-77.10;-173.23;-58.65
77;1;0.350;-1.650;-3.614;1.08;1.82;0.77;1.96;3.75;109.81;32.43;53.11
;;;;;-1.17;-1.74;-1.06;-3.41;-3.46;-79.48;-169.84;-62.81
78;1;0.350;-1.750;-3.637;1.29;1.51;0.78;1.57;3.47;116.52;27.47;64.67
;;;;;-1.34;-1.43;-1.04;-4.39;-3.11;-81.40;-163.83;-66.36
79;1;0.350;-1.850;-3.660;1.46;1.56;0.76;0.99;3.13;119.76;22.59;77.10
;;;;;-1.48;-1.18;-0.99;-5.39;-2.73;-82.64;-155.62;-69.33
80;1;0.350;-1.950;-3.682;1.60;1.91;0.74;-0.59;2.83;118.73;-20.35;89.89
;;;;;-1.59;-0.99;-0.93;-6.35;-2.95;-83.10;-145.42;-71.78
81;1;0.450;-0.050;-3.274;7.48;5.73;1.92;74.40;60.23;21.00;86.52;150.45
;;;;;-10.49;-14.24;-3.16;-40.47;-25.27;-235.79;-235.51;36.42
82;1;0.450;-0.150;-3.296;7.22;6.11;1.07;40.56;6.85;-19.69;79.80;134.16
;;;;;-13.06;-16.33;-2.55;-5.72;-21.82;-197.75;-259.81;29.85
83;1;0.450;-0.250;-3.318;3.32;5.56;0.75;24.60;4.01;14.71;78.91;112.89
;;;;;-11.93;-14.48;-2.02;-4.15;-26.78;-162.38;-277.64;-25.68
84;1;0.450;-0.350;-3.340;0.49;5.16;0.50;13.95;2.63;11.49;79.93;90.38
;;;;;-9.65;-12.18;-1.52;-3.63;-21.38;-127.72;-284.53;-26.21
85;1;0.450;-0.450;-3.362;-0.36;4.94;0.29;5.57;1.58;8.41;81.92;70.96
;;;;;-7.28;-10.22;-1.18;-3.55;-15.01;-96.13;-285.07;-26.57
86;1;0.450;-0.550;-3.385;-0.19;4.80;0.14;2.25;0.92;13.13;83.75;58.89
;;;;;-5.26;-8.70;-1.00;-4.01;-10.41;-83.31;-279.69;-28.26
87;1;0.450;-0.650;-3.407;0.08;4.73;0.06;2.06;0.53;15.66;84.54;51.15
;;;;;-3.71;-7.51;-0.89;-5.85;-7.46;-79.54;-270.70;-26.77
88;1;0.450;-0.750;-3.429;0.07;4.59;0.04;2.15;0.33;28.66;84.06;45.25
;;;;;-2.63;-6.57;-0.85;-6.26;-5.54;-75.31;-259.29;-25.75
89;1;0.450;-0.850;-3.451;0.09;4.37;0.09;2.27;0.27;42.30;82.42;40.89
;;;;;-1.91;-5.75;-0.82;-5.98;-4.58;-70.32;-246.56;-25.81
90;1;0.450;-0.950;-3.473;0.12;4.11;0.20;2.51;0.71;54.03;79.60;37.68
;;;;;-1.44;-5.05;-0.80;-5.57;-4.02;-66.40;-232.77;-24.98
91;1;0.450;-1.050;-3.495;0.12;3.69;0.31;2.40;0.36;63.91;75.87;35.68
;;;;;-1.11;-4.30;-0.77;-4.92;-2.89;-70.45;-217.89;-25.73
92;1;0.450;-1.150;-3.518;0.11;3.36;0.41;2.13;1.55;74.05;71.82;34.38
;;;;;-0.98;-3.73;-0.80;-4.26;-2.86;-74.02;-203.78;-32.67
93;1;0.450;-1.250;-3.540;0.13;3.00;0.49;1.96;2.16;84.66;67.24;33.96
;;;;;-0.93;-3.19;-0.84;-3.80;-2.98;-77.40;-189.89;-39.37
94;1;0.450;-1.350;-3.562;0.30;2.66;0.56;1.66;3.04;95.33;62.39;34.20
;;;;;-0.90;-2.73;-0.89;-3.29;-3.56;-80.35;-176.53;-45.55
95;1;0.450;-1.450;-3.584;0.51;2.35;0.62;1.45;3.66;105.75;57.42;35.09
;;;;;-0.87;-2.35;-0.96;-2.93;-3.84;-82.96;-168.49;-51.19
96;1;0.450;-1.550;-3.606;0.71;2.01;0.64;1.62;4.04;115.43;52.35;41.09
;;;;;-0.97;-1.96;-0.99;-2.91;-3.97;-85.08;-172.20;-56.34
97;1;0.450;-1.650;-3.629;0.91;1.65;0.65;1.56;3.89;123.44;47.26;50.93
;;;;;-1.13;-1.58;-1.01;-3.10;-3.66;-86.65;-173.55;-60.75
98;1;0.450;-1.750;-3.651;1.12;1.38;0.66;1.34;3.53;128.45;42.25;61.54
;;;;;-1.30;-1.28;-1.00;-4.00;-3.20;-87.54;-172.75;-64.31
99;1;0.450;-1.850;-3.673;1.30;1.69;0.64;1.00;3.20;129.49;37.29;72.85
;;;;;-1.45;-1.03;-0.96;-4.91;-2.78;-87.67;-169.92;-67.15
100;1;0.450;-1.950;-3.695;1.46;2.03;0.62;0.54;3.06;125.84;32.37;84.63
;;;;;-1.57;-0.84;-0.90;-5.79;-2.60;-87.13;-165.11;-69.39
101;1;0.550;-0.050;-3.298;6.58;4.57;2.09;52.21;48.22;26.28;93.92;151.31
;;;;;-6.74;-10.94;-2.45;-39.06;-21.92;-205.52;-210.97;32.14
102;1;0.550;-0.150;-3.320;6.62;5.34;1.25;27.48;4.57;21.19;76.61;132.87
;;;;;-8.43;-12.99;-1.88;-5.34;-13.52;-174.38;-232.97;30.24
103;1;0.550;-0.250;-3.341;3.28;5.05;0.81;22.80;2.47;16.94;81.66;113.30
;;;;;-7.53;-11.68;-1.39;-3.77;-16.59;-138.61;-251.41;-23.01
104;1;0.550;-0.350;-3.363;0.75;4.76;0.49;13.06;1.69;13.18;85.57;93.55
;;;;;-6.06;-10.04;-1.06;-2.55;-13.11;-103.92;-260.37;-23.56
105;1;0.550;-0.450;-3.385;0.22;4.58;0.27;6.48;1.08;9.86;88.68;79.87
;;;;;-4.62;-8.64;-0.82;-2.11;-9.26;-79.61;-264.20;-24.11
106;1;0.550;-0.550;-3.406;0.12;4.44;0.19;2.43;0.62;14.54;90.90;68.02
;;;;;-3.37;-7.49;-0.64;-1.94;-6.62;-74.88;-262.11;-22.93
107;1;0.550;-0.650;-3.428;0.07;4.35;0.18;1.48;0.36;30.51;91.93;57.91
;;;;;-2.44;-6.61;-0.51;-1.96;-5.52;-70.32;-256.30;-22.19
108;1;0.550;-0.750;-3.449;0.10;4.19;0.15;1.49;0.28;44.07;91.79;48.62
;;;;;-1.80;-5.84;-0.48;-2.84;-4.72;-65.57;-247.92;-19.94
109;1;0.550;-0.850;-3.471;0.12;4.01;0.16;1.63;0.39;55.61;90.43;43.99
;;;;;-1.38;-5.20;-0.49;-3.18;-4.16;-69.42;-237.75;-19.99
110;1;0.550;-0.950;-3.492;0.13;3.66;0.18;1.56;0.41;65.30;87.92;40.87
;;;;;-1.08;-4.48;-0.51;-3.14;-2.74;-74.05;-225.65;-19.71
111;1;0.550;-1.050;-3.514;0.12;3.39;0.26;1.40;1.85;75.21;84.97;38.61
;;;;;-0.99;-3.93;-0.55;-2.90;-2.85;-78.14;-213.80;-20.20
112;1;0.550;-1.150;-3.535;0.09;3.06;0.33;1.41;2.66;85.71;81.30;37.39
;;;;;-0.98;-3.40;-0.62;-2.83;-3.56;-82.07;-201.70;-27.65
113;1;0.550;-1.250;-3.557;0.08;2.73;0.40;1.38;3.19;96.52;77.12;36.91
;;;;;-1.01;-2.91;-0.69;-2.73;-4.16;-85.28;-189.46;-34.77
114;1;0.550;-1.350;-3.579;0.18;2.41;0.46;1.33;3.80;107.27;72.62;37.07
;;;;;-1.05;-2.48;-0.77;-2.59;-4.37;-87.94;-177.61;-41.28
115;1;0.550;-1.450;-3.600;0.39;2.10;0.51;1.23;4.03;117.29;67.90;37.82
;;;;;-1.06;-2.10;-0.84;-2.55;-4.28;-90.03;-166.25;-47.12
116;1;0.550;-1.550;-3.622;0.59;1.79;0.53;1.34;4.05;126.09;63.04;39.05
;;;;;-1.03;-1.74;-0.89;-2.61;-4.04;-91.36;-170.15;-52.26
117;1;0.550;-1.650;-3.643;0.78;1.46;0.53;1.40;3.82;132.47;58.10;44.67
;;;;;-1.10;-1.39;-0.91;-2.72;-3.63;-91.83;-175.35;-56.67
118;1;0.550;-1.750;-3.665;0.96;1.46;0.53;1.22;3.53;135.45;53.17;54.43
;;;;;-1.26;-1.10;-0.91;-3.49;-3.20;-91.61;-178.67;-60.20
119;1;0.550;-1.850;-3.686;1.14;1.77;0.52;0.93;3.39;134.34;48.30;64.96
;;;;;-1.40;-0.87;-0.88;-4.30;-2.93;-90.78;-180.21;-62.98
120;1;0.550;-1.950;-3.708;1.32;2.11;0.50;0.56;3.37;128.51;43.45;76.22
;;;;;-1.55;-0.70;-0.84;-5.13;-2.78;-89.61;-180.03;-65.15
121;1;0.650;-0.050;-3.323;5.72;3.75;2.06;37.51;38.35;28.57;99.39;150.12
;;;;;-4.61;-8.73;-1.96;-33.12;-19.22;-184.28;-196.12;29.80
122;1;0.650;-0.150;-3.344;5.70;4.62;1.34;24.51;3.07;22.24;73.79;129.16
;;;;;-5.40;-10.60;-1.45;-6.57;-8.92;-151.98;-209.59;27.76
123;1;0.650;-0.250;-3.365;2.87;4.49;0.83;20.60;1.66;17.26;77.15;109.83
;;;;;-4.62;-9.62;-1.04;-4.75;-10.28;-116.72;-228.98;-25.59
124;1;0.650;-0.350;-3.386;0.81;4.31;0.58;12.36;0.95;13.22;84.51;96.94
;;;;;-3.65;-8.43;-0.79;-2.67;-7.71;-83.31;-239.89;-26.15
125;1;0.650;-0.450;-3.407;0.26;4.21;0.46;6.65;0.63;15.15;89.60;85.26
;;;;;-2.79;-7.42;-0.59;-1.35;-5.37;-74.69;-245.22;-25.80
126;1;0.650;-0.550;-3.428;0.13;4.09;0.38;3.27;0.38;28.96;93.02;73.57
;;;;;-2.07;-6.58;-0.45;-1.04;-5.02;-69.41;-245.45;-24.37
127;1;0.650;-0.650;-3.449;0.12;3.99;0.34;1.25;0.28;42.78;94.92;63.31
;;;;;-1.77;-5.87;-0.36;-0.84;-4.59;-67.22;-242.17;-22.11
128;1;0.650;-0.750;-3.470;0.13;3.86;0.32;1.02;0.35;54.49;95.33;54.20
;;;;;-1.51;-5.27;-0.29;-0.91;-4.11;-72.04;-236.01;-20.70
129;1;0.650;-0.850;-3.490;0.13;3.58;0.31;0.93;0.43;64.29;94.35;45.76
;;;;;-1.25;-4.59;-0.27;-1.40;-2.63;-76.95;-227.08;-19.05
130;1;0.650;-0.950;-3.511;0.12;3.36;0.32;0.88;1.86;74.13;92.76;41.22
;;;;;-1.03;-4.08;-0.32;-1.62;-2.86;-81.50;-217.79;-16.27
131;1;0.650;-1.050;-3.532;0.10;3.06;0.32;0.96;2.76;84.42;90.20;39.20
;;;;;-0.95;-3.54;-0.39;-1.82;-3.83;-85.79;-207.50;-15.76
132;1;0.650;-1.150;-3.553;0.07;2.77;0.32;1.02;3.17;95.17;86.92;37.95
;;;;;-1.02;-3.06;-0.47;-1.93;-4.51;-89.38;-196.80;-22.07
133;1;0.650;-1.250;-3.574;0.04;2.45;0.31;1.09;3.81;105.99;83.12;37.46
;;;;;-1.10;-2.60;-0.55;-2.03;-4.74;-92.15;-185.91;-29.31
134;1;0.650;-1.350;-3.595;0.10;2.14;0.36;1.08;4.05;116.38;78.97;37.57
;;;;;-1.17;-2.19;-0.64;-2.01;-4.62;-94.16;-175.31;-35.94
135;1;0.650;-1.450;-3.616;0.30;1.85;0.40;1.13;4.05;125.60;74.58;38.17
;;;;;-1.22;-1.83;-0.72;-2.09;-4.31;-95.41;-165.12;-41.81
136;1;0.650;-1.550;-3.637;0.49;1.56;0.42;1.19;3.93;132.93;69.98;39.20
;;;;;-1.22;-1.49;-0.77;-2.19;-3.94;-95.84;-167.02;-46.94
137;1;0.650;-1.650;-3.658;0.67;1.26;0.42;1.24;3.74;137.56;65.26;40.60
;;;;;-1.16;-1.18;-0.80;-2.29;-3.56;-95.40;-175.36;-51.32
138;1;0.650;-1.750;-3.679;0.84;1.53;0.42;1.15;3.64;138.62;60.53;44.60
;;;;;-1.23;-0.93;-0.81;-2.88;-3.26;-94.35;-182.00;-54.87
139;1;0.650;-1.850;-3.700;1.02;1.84;0.40;0.91;3.61;135.69;55.80;54.70
;;;;;-1.38;-0.73;-0.79;-3.64;-3.06;-92.92;-187.15;-57.65
140;1;0.650;-1.950;-3.721;1.20;2.17;0.39;0.64;3.48;127.91;51.06;65.94
;;;;;-1.54;-0.57;-0.76;-4.50;-2.81;-91.20;-190.78;-59.76
141;1;0.750;-0.050;-3.348;5.01;3.43;1.93;26.79;29.93;28.62;102.10;147.13
;;;;;-3.58;-7.20;-1.54;-25.20;-17.74;-164.02;-185.68;-30.06
142;1;0.750;-0.150;-3.368;4.77;3.96;1.29;22.17;2.45;21.58;79.73;123.77
;;;;;-3.53;-8.77;-1.11;-7.52;-5.99;-130.99;-187.76;-30.91
143;1;0.750;-0.250;-3.388;2.38;3.95;0.85;18.00;1.46;16.31;68.13;106.42
;;;;;-2.75;-8.05;-0.80;-5.61;-5.95;-96.91;-208.63;-31.10
144;1;0.750;-0.350;-3.409;0.74;3.89;0.67;11.24;0.93;14.43;78.83;97.39
